Season,RANK,NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE
2013 - 2014,142,Ville Leino,BUF,LW,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Zach Bogosian,WPG,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,142,Zbynek Michalek,ARI,D,"$4,000,000 ",1 (2013),"$4,000,000 "
2013 - 2014,175,Josh Gorges,MTL,D,"$3,900,000 ",1 (2013),"$3,900,000 "
2013 - 2014,175,Matt Moulson,MIN,LW,"$3,900,000 ",1 (2013),"$3,900,000 "
2013 - 2014,177,Marc Staal,NYR,D,"$3,875,000 ",1 (2013),"$3,875,000 "
2013 - 2014,178,Antoine Vermette,ARI,C,"$3,750,000 ",1 (2013),"$3,750,000 "
2013 - 2014,178,Brooks Orpik,PIT,D,"$3,750,000 ",1 (2013),"$3,750,000 "
2013 - 2014,178,Devan Dubnyk,MTL,G,"$3,750,000 ",1 (2013),"$3,750,000 "
2013 - 2014,178,Erik Johnson,COL,D,"$3,750,000 ",1 (2013),"$3,750,000 "
2013 - 2014,178,James van Riemsdyk,TOR,LW,"$3,750,000 ",1 (2013),"$3,750,000 "
2013 - 2014,178,Martin Erat,ARI,RW,"$3,750,000 ",1 (2013),"$3,750,000 "
2013 - 2014,178,Matt Duchene,COL,C,"$3,750,000 ",1 (2013),"$3,750,000 "
2013 - 2014,178,Mattias Ohlund,TBL,D,"$3,750,000 ",1 (2013),"$3,750,000 "
2013 - 2014,178,P.K. Subban,MTL,D,"$3,750,000 ",1 (2013),"$3,750,000 "
2013 - 2014,187,Chris Kunitz,PIT,LW,"$3,725,000 ",1 (2013),"$3,725,000 "
2013 - 2014,188,Derick Brassard,NYR,C,"$3,700,000 ",1 (2013),"$3,700,000 "
2013 - 2014,189,Brad Stuart,SJS,D,"$3,600,000 ",1 (2013),"$3,600,000 "
2013 - 2014,189,Joel Ward,WSH,RW,"$3,600,000 ",1 (2013),"$3,600,000 "
2013 - 2014,189,Nick Schultz,EDM,D,"$3,600,000 ",1 (2013),"$3,600,000 "
2013 - 2014,189,Troy Brouwer,WSH,RW,"$3,600,000 ",1 (2013),"$3,600,000 "
2013 - 2014,193,Alexander Steen,STL,LW,"$3,566,667 ",1 (2013),"$3,566,667 "
2013 - 2014,194,Alex Tanguay,COL,LW,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Bryan Allen,ANA,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Chris Kelly,BOS,C,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Craig Anderson,OTT,G,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Daniel Alfredsson,DET,RW,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,David Desharnais,MTL,C,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,David Legwand,DET,C,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,David Perron,EDM,LW,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Dennis Seidenberg,BOS,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Dustin Brown,LAK,RW,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Francois Beauchemin,ANA,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Henrik Tallinder,BUF,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Jack Johnson,CBJ,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Kris Letang,PIT,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Lubomir Visnovsky,NYI,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Michael Ryder,NJD,RW,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Nicklas Grossmann,PHI,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Niklas Hjalmarsson,CHI,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Oliver Ekman-Larsson,ARI,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Ondrej Pavelec,WPG,G,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Patric Hornqvist,NSH,RW,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Sami Salo,TBL,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Scottie Upshall,FLA,LW,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Sheldon Souray,ANA,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Travis Zajac,NJD,C,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Trevor Daley,DAL,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Tyler Bozak,TOR,C,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,194,Willie Mitchell,LAK,D,"$3,500,000 ",1 (2013),"$3,500,000 "
2013 - 2014,222,Dan Girardi,NYR,D,"$3,400,000 ",1 (2013),"$3,400,000 "
2013 - 2014,222,Johnny Boychuk,BOS,D,"$3,400,000 ",1 (2013),"$3,400,000 "
2013 - 2014,224,Dave Bolland,TOR,C,"$3,375,000 ",1 (2013),"$3,375,000 "
2013 - 2014,224,Rich Peverley,DAL,C,"$3,375,000 ",1 (2013),"$3,375,000 "
2013 - 2014,226,Luke Schenn,PHI,D,"$3,350,000 ",1 (2013),"$3,350,000 "
2013 - 2014,227,Johnny Oduya,CHI,D,"$3,300,000 ",1 (2013),"$3,300,000 "
2013 - 2014,227,Kevin Shattenkirk,STL,D,"$3,300,000 ",1 (2013),"$3,300,000 "
2013 - 2014,229,Alexander Edler,VAN,D,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Andy Greene,NJD,D,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Barret Jackman,STL,D,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Bryce Salvador,NJD,D,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Chris Phillips,OTT,D,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Clarke MacArthur,OTT,LW,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Devin Setoguchi,WPG,RW,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Evgeni Nabokov,NYI,G,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Jan Hejda,COL,D,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Jarret Stoll,LAK,C,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Jonathan Ericsson,DET,D,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Marc Methot,OTT,D,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Matt Greene,LAK,D,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,229,Patrik Berglund,STL,C,"$3,250,000 ",1 (2013),"$3,250,000 "
2013 - 2014,243,Steve Ott,STL,C,"$3,200,000 ",1 (2013),"$3,200,000 "
2013 - 2014,244,Dainius Zubrus,NJD,RW,"$3,100,000 ",1 (2013),"$3,100,000 "
2013 - 2014,244,Roman Polak,STL,D,"$3,100,000 ",1 (2013),"$3,100,000 "
2013 - 2014,246,Tyler Ennis,BUF,C,"$3,062,500 ",1 (2013),"$3,062,500 "
2013 - 2014,247,Boyd Gordon,EDM,C,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Bryan Bickell,CHI,LW,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Cody Hodgson,BUF,C,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Dmitry Kulikov,FLA,D,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Jussi Jokinen,PIT,LW,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Kevin Klein,NYR,D,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Kyle Brodziak,MIN,C,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Kyle Okposo,NYI,RW,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Ladislav Smid,CGY,D,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Logan Couture,SJS,C,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Marek Zidlicky,NJD,D,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Matt Cullen,NSH,C,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Michael Grabner,NYI,RW,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Mikael Samuelsson,DET,RW,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Mikhail Grabovski,WSH,C,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Nick Foligno,CBJ,LW,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Nikolay Kulemin,TOR,LW,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Radim Vrbata,ARI,RW,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Robyn Regehr,LAK,D,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Semyon Varlamov,COL,G,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Tomas Kopecky,FLA,RW,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,247,Victor Hedman,TBL,D,"$3,000,000 ",1 (2013),"$3,000,000 "
2013 - 2014,269,Rostislav Klesla,BUF,D,"$2,975,000 ",1 (2013),"$2,975,000 "
2013 - 2014,270,Michael Del Zotto,NSH,D,"$2,900,000 ",1 (2013),"$2,900,000 "
2013 - 2014,271,Carl Gunnarsson,TOR,D,"$2,850,000 ",1 (2013),"$2,850,000 "
2013 - 2014,271,Stephane Robidas,ANA,D,"$2,850,000 ",1 (2013),"$2,850,000 "
2013 - 2014,273,Karl Alzner,WSH,D,"$2,800,000 ",1 (2013),"$2,800,000 "
2013 - 2014,273,Steve Downie,PHI,RW,"$2,800,000 ",1 (2013),"$2,800,000 "
2013 - 2014,273,Wayne Simmonds,PHI,RW,"$2,800,000 ",1 (2013),"$2,800,000 "
2013 - 2014,276,Artem Anisimov,CBJ,C,"$2,750,000 ",1 (2013),"$2,750,000 "
2013 - 2014,276,Derek Morris,ARI,D,"$2,750,000 ",1 (2013),"$2,750,000 "
2013 - 2014,276,Lee Stempniak,PIT,RW,"$2,750,000 ",1 (2013),"$2,750,000 "
2013 - 2014,276,Martin Hanzal,ARI,C,"$2,750,000 ",1 (2013),"$2,750,000 "
2013 - 2014,276,Sean Bergenheim,FLA,LW,"$2,750,000 ",1 (2013),"$2,750,000 "
2013 - 2014,276,Slava Voynov,LAK,D,"$2,750,000 ",1 (2013),"$2,750,000 "
2013 - 2014,282,Brandon Sutter,PIT,C,"$2,700,000 ",1 (2013),"$2,700,000 "
2013 - 2014,282,Nazem Kadri,TOR,C,"$2,700,000 ",1 (2013),"$2,700,000 "
2013 - 2014,284,Andrew Cogliano,ANA,C,"$2,670,000 ",1 (2013),"$2,670,000 "
2013 - 2014,285,Michal Rozsival,CHI,D,"$2,650,000 ",1 (2013),"$2,650,000 "
2013 - 2014,286,Karri Ramo,CGY,G,"$2,600,000 ",1 (2013),"$2,600,000 "
2013 - 2014,286,Luca Sbisa,ANA,D,"$2,600,000 ",1 (2013),"$2,600,000 "
2013 - 2014,288,Brandon Prust,MTL,LW,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Chris Higgins,VAN,LW,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Corey Crawford,CHI,G,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Curtis Glencross,CGY,LW,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Damien Brunner,NJD,RW,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Frans Nielsen,NYI,C,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Kyle Turris,OTT,C,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Matt Niskanen,PIT,D,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Matt Stajan,CGY,C,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Nikita Nikitin,CBJ,D,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Niklas Backstrom,MIN,G,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Roman Josi,NSH,D,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Ryan Malone,TBL,LW,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Saku Koivu,ANA,C,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Tim Thomas,DAL,G,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,288,Viktor Stalberg,NSH,LW,"$2,500,000 ",1 (2013),"$2,500,000 "
2013 - 2014,304,Jonathan Bernier,TOR,G,"$2,400,000 ",1 (2013),"$2,400,000 "
2013 - 2014,304,Michal Neuvirth,BUF,G,"$2,400,000 ",1 (2013),"$2,400,000 "
2013 - 2014,304,Viktor Fasth,EDM,G,"$2,400,000 ",1 (2013),"$2,400,000 "
2013 - 2014,307,Ryan Wilson,COL,D,"$2,375,000 ",1 (2013),"$2,375,000 "
2013 - 2014,308,Tyler Kennedy,SJS,RW,"$2,350,000 ",1 (2013),"$2,350,000 "
2013 - 2014,309,Derek Stepan,NYR,C,"$2,300,000 ",1 (2013),"$2,300,000 "
2013 - 2014,309,Mikkel Boedker,ARI,LW,"$2,300,000 ",1 (2013),"$2,300,000 "
2013 - 2014,311,Andrew Ference,EDM,D,"$2,250,000 ",1 (2013),"$2,250,000 "
2013 - 2014,311,Jordan Leopold,STL,D,"$2,250,000 ",1 (2013),"$2,250,000 "
2013 - 2014,311,Ryan Smyth,EDM,LW,"$2,250,000 ",1 (2013),"$2,250,000 "
2013 - 2014,314,Anders Lindback,TBL,G,"$2,200,000 ",1 (2013),"$2,200,000 "
2013 - 2014,314,Ben Bishop,TBL,G,"$2,200,000 ",1 (2013),"$2,200,000 "
2013 - 2014,314,Josh Bailey,NYI,LW,"$2,200,000 ",1 (2013),"$2,200,000 "
2013 - 2014,317,Todd Bertuzzi,DET,RW,"$2,175,000 ",1 (2013),"$2,175,000 "
2013 - 2014,318,Carl Hagelin,NYR,LW,"$2,100,000 ",1 (2013),"$2,100,000 "
2013 - 2014,318,Chris Neil,OTT,RW,"$2,100,000 ",1 (2013),"$2,100,000 "
2013 - 2014,318,David Moss,ARI,RW,"$2,100,000 ",1 (2013),"$2,100,000 "
2013 - 2014,318,Josh Harding,MIN,G,"$2,100,000 ",1 (2013),"$2,100,000 "
2013 - 2014,318,Torrey Mitchell,BUF,C,"$2,100,000 ",1 (2013),"$2,100,000 "
2013 - 2014,323,Adam Henrique,NJD,C,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Alexei Emelin,MTL,D,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Cal Clutterbuck,NYI,RW,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Cody Franson,TOR,D,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Colin Wilson,NSH,C,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Cory Sarich,COL,D,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Dustin Penner,WSH,LW,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Eric Nystrom,NSH,LW,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Ilya Bryzgalov,MIN,G,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Jaromir Jagr,NJD,RW,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Jordin Tootoo,DET,RW,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Lauri Korpikoski,ARI,LW,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Maxime Talbot,COL,C,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Nick Leddy,CHI,D,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Pierre-Marc Bouchard,CHI,C,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Ron Hainsey,CAR,D,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Shane O`Brien,CGY,D,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Teemu Selanne,ANA,RW,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,323,Tomas Vokoun,PIT,G,"$2,000,000 ",1 (2013),"$2,000,000 "
2013 - 2014,342,John Erskine,WSH,D,"$1,925,000 ",1 (2013),"$1,925,000 "
2013 - 2014,343,Brian Elliott,STL,G,"$1,900,000 ",1 (2013),"$1,900,000 "
2013 - 2014,343,Jamie McBain,BUF,D,"$1,900,000 ",1 (2013),"$1,900,000 "
2013 - 2014,343,Michael Frolik,WPG,RW,"$1,900,000 ",1 (2013),"$1,900,000 "
2013 - 2014,346,Adam Burish,SJS,RW,"$1,850,000 ",1 (2013),"$1,850,000 "
2013 - 2014,346,Jamie McGinn,COL,LW,"$1,850,000 ",1 (2013),"$1,850,000 "
2013 - 2014,346,Matt Hendricks,EDM,C,"$1,850,000 ",1 (2013),"$1,850,000 "
2013 - 2014,346,Travis Moen,MTL,LW,"$1,850,000 ",1 (2013),"$1,850,000 "
2013 - 2014,350,Marcus Johansson,WSH,C,"$1,825,000 ",1 (2013),"$1,825,000 "
2013 - 2014,351,Anton Stralman,NYR,D,"$1,800,000 ",1 (2013),"$1,800,000 "
2013 - 2014,351,Brian Boyle,NYR,C,"$1,800,000 ",1 (2013),"$1,800,000 "
2013 - 2014,351,Daniel Winnik,ANA,C,"$1,800,000 ",1 (2013),"$1,800,000 "
2013 - 2014,351,Jarome Iginla,BOS,RW,"$1,800,000 ",1 (2013),"$1,800,000 "
2013 - 2014,351,Jeff Petry,EDM,D,"$1,800,000 ",1 (2013),"$1,800,000 "
2013 - 2014,351,Mark Stuart,WPG,D,"$1,800,000 ",1 (2013),"$1,800,000 "
2013 - 2014,351,Vernon Fiddler,DAL,C,"$1,800,000 ",1 (2013),"$1,800,000 "
2013 - 2014,358,Andrej Sekera,CAR,D,"$1,750,000 ",1 (2013),"$1,750,000 "
2013 - 2014,358,Daniel Cleary,DET,RW,"$1,750,000 ",1 (2013),"$1,750,000 "
2013 - 2014,358,Darren Helm,DET,C,"$1,750,000 ",1 (2013),"$1,750,000 "
2013 - 2014,358,Marcel Goc,PIT,C,"$1,750,000 ",1 (2013),"$1,750,000 "
2013 - 2014,358,Raffi Torres,SJS,LW,"$1,750,000 ",1 (2013),"$1,750,000 "
2013 - 2014,358,TJ Brodie,CGY,D,"$1,750,000 ",1 (2013),"$1,750,000 "
2013 - 2014,364,Braden Holtby,WSH,G,"$1,700,000 ",1 (2013),"$1,700,000 "
2013 - 2014,364,Chris Butler,CGY,D,"$1,700,000 ",1 (2013),"$1,700,000 "
2013 - 2014,364,Gregory Campbell,BOS,C,"$1,700,000 ",1 (2013),"$1,700,000 "
2013 - 2014,364,Jason Chimera,WSH,LW,"$1,700,000 ",1 (2013),"$1,700,000 "
2013 - 2014,364,Jiri Tlusty,CAR,LW,"$1,700,000 ",1 (2013),"$1,700,000 "
2013 - 2014,369,Ray Emery,PHI,G,"$1,650,000 ",1 (2013),"$1,650,000 "
2013 - 2014,369,Shawn Matthias,VAN,C,"$1,650,000 ",1 (2013),"$1,650,000 "
2013 - 2014,369,Taylor Pyatt,PIT,LW,"$1,650,000 ",1 (2013),"$1,650,000 "
2013 - 2014,372,Aaron Rome,DAL,D,"$1,600,000 ",1 (2013),"$1,600,000 "
2013 - 2014,372,Grant Clitsome,WPG,D,"$1,600,000 ",1 (2013),"$1,600,000 "
2013 - 2014,372,Jakub Kindl,DET,D,"$1,600,000 ",1 (2013),"$1,600,000 "
2013 - 2014,372,James Reimer,TOR,G,"$1,600,000 ",1 (2013),"$1,600,000 "
2013 - 2014,372,Jim Slater,WPG,C,"$1,600,000 ",1 (2013),"$1,600,000 "
2013 - 2014,377,Justin Abdelkader,DET,LW,"$1,550,000 ",1 (2013),"$1,550,000 "
2013 - 2014,378,Adam McQuaid,BOS,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Brenden Morrow,STL,LW,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Christopher Tanev,VAN,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Douglas Murray,MTL,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Francis Bouillon,MTL,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Jared Cowen,OTT,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Jason Demers,SJS,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Jay Harrison,CAR,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Jay McClement,TOR,C,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Jean-Sebastien Giguere,COL,G,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Jonas Gustavsson,DET,G,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Kris Russell,CGY,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Lars Eller,MTL,C,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Matt Carkner,NYI,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Matt Cooke,MIN,LW,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Mikael Backlund,CGY,C,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Mike Weber,BUF,D,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Nate Thompson,TBL,C,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Nick Spaling,NSH,C,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Ryan Jones,EDM,LW,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Steve Mason,PHI,G,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,378,Zack Smith,OTT,C,"$1,500,000 ",1 (2013),"$1,500,000 "
2013 - 2014,400,Derek Dorsett,NYR,RW,"$1,400,000 ",1 (2013),"$1,400,000 "
2013 - 2014,400,Eric Fehr,WSH,RW,"$1,400,000 ",1 (2013),"$1,400,000 "
2013 - 2014,400,Mark Fayne,NJD,D,"$1,400,000 ",1 (2013),"$1,400,000 "
2013 - 2014,400,Peter Budaj,MTL,G,"$1,400,000 ",1 (2013),"$1,400,000 "
2013 - 2014,404,Drew Miller,DET,LW,"$1,350,000 ",1 (2013),"$1,350,000 "
2013 - 2014,404,Kyle Palmieri,ANA,RW,"$1,350,000 ",1 (2013),"$1,350,000 "
2013 - 2014,406,Benoit Pouliot,NYR,LW,"$1,300,000 ",1 (2013),"$1,300,000 "
2013 - 2014,406,Daniel Paille,BOS,LW,"$1,300,000 ",1 (2013),"$1,300,000 "
2013 - 2014,406,Matt Beleskey,ANA,LW,"$1,300,000 ",1 (2013),"$1,300,000 "
2013 - 2014,406,Scott Clemmensen,FLA,G,"$1,300,000 ",1 (2013),"$1,300,000 "
2013 - 2014,406,Sheldon Brookbank,CHI,D,"$1,300,000 ",1 (2013),"$1,300,000 "
2013 - 2014,411,Brendan Smith,DET,D,"$1,250,000 ",1 (2013),"$1,250,000 "
2013 - 2014,411,Jhonas Enroth,BUF,G,"$1,250,000 ",1 (2013),"$1,250,000 "
2013 - 2014,411,Justin Braun,SJS,D,"$1,250,000 ",1 (2013),"$1,250,000 "
2013 - 2014,411,Marcus Kruger,CHI,C,"$1,250,000 ",1 (2013),"$1,250,000 "
2013 - 2014,411,Mark Fraser,TOR,D,"$1,250,000 ",1 (2013),"$1,250,000 "
2013 - 2014,411,Patrick Kaleta,BUF,RW,"$1,250,000 ",1 (2013),"$1,250,000 "
2013 - 2014,411,Raphael Diaz,NYR,D,"$1,250,000 ",1 (2013),"$1,250,000 "
2013 - 2014,411,T.J. Galiardi,CGY,LW,"$1,250,000 ",1 (2013),"$1,250,000 "
2013 - 2014,411,Travis Hamonic,NYI,D,"$1,250,000 ",1 (2013),"$1,250,000 "
2013 - 2014,420,Ben Eager,EDM,LW,"$1,200,000 ",1 (2013),"$1,200,000 "
2013 - 2014,420,Erik Condra,OTT,RW,"$1,200,000 ",1 (2013),"$1,200,000 "
2013 - 2014,420,Mark Letestu,CBJ,C,"$1,200,000 ",1 (2013),"$1,200,000 "
2013 - 2014,420,Mike Rupp,MIN,LW,"$1,200,000 ",1 (2013),"$1,200,000 "
2013 - 2014,420,Patrick Eaves,NSH,RW,"$1,200,000 ",1 (2013),"$1,200,000 "
2013 - 2014,425,B.J. Crombeen,TBL,RW,"$1,150,000 ",1 (2013),"$1,150,000 "
2013 - 2014,425,Brad Richardson,VAN,RW,"$1,150,000 ",1 (2013),"$1,150,000 "
2013 - 2014,425,Cody McLeod,COL,LW,"$1,150,000 ",1 (2013),"$1,150,000 "
2013 - 2014,425,Jared Boll,CBJ,RW,"$1,150,000 ",1 (2013),"$1,150,000 "
2013 - 2014,425,Mats Zuccarello,NYR,RW,"$1,150,000 ",1 (2013),"$1,150,000 "
2013 - 2014,425,Philip Larsen,EDM,D,"$1,150,000 ",1 (2013),"$1,150,000 "
2013 - 2014,431,Cam Atkinson,CBJ,RW,"$1,125,000 ",1 (2013),"$1,125,000 "
2013 - 2014,432,Alec Martinez,LAK,D,"$1,100,000 ",1 (2013),"$1,100,000 "
2013 - 2014,432,David Schlemko,ARI,RW,"$1,100,000 ",1 (2013),"$1,100,000 "
2013 - 2014,432,Jannik Hansen,VAN,RW,"$1,100,000 ",1 (2013),"$1,100,000 "
2013 - 2014,432,John Mitchell,COL,C,"$1,100,000 ",1 (2013),"$1,100,000 "
2013 - 2014,432,Mathieu Perreault,ANA,C,"$1,100,000 ",1 (2013),"$1,100,000 "
2013 - 2014,432,Mike Weaver,MTL,D,"$1,100,000 ",1 (2013),"$1,100,000 "
2013 - 2014,432,Patrick Wiercioch,OTT,D,"$1,100,000 ",1 (2013),"$1,100,000 "
2013 - 2014,432,Shawn Thornton,BOS,LW,"$1,100,000 ",1 (2013),"$1,100,000 "
2013 - 2014,432,Tanner Glass,PIT,LW,"$1,100,000 ",1 (2013),"$1,100,000 "
2013 - 2014,441,Ben Lovejoy,ANA,D,"$1,000,000 ",1 (2013),"$1,000,000 "
2013 - 2014,441,Blake Comeau,CBJ,LW,"$1,000,000 ",1 (2013),"$1,000,000 "
2013 - 2014,441,Brad Boyes,FLA,RW,"$1,000,000 ",1 (2013),"$1,000,000 "
2013 - 2014,441,Carl Soderberg,BOS,C,"$1,000,000 ",1 (2013),"$1,000,000 "
